--- SIGCHLD {si_signo=SIGCHLD, si_code=CLD_EXITED, si_pid=84736, si_uid=1000, si_status=0, si_utime=0, si_stime=0} ---
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffdbc283db0) = 0
